,Auto_id,UpdateType,Carrier,FltNo,Dep_SchdDate,Dep_Attribute,Dep_Apt,Dep_DateTime_Act,Arr_apt,Dep_Delay_TimeDifference,Dep_delay_Hours
0,178097697.0,UPD,AC,5.0,22-07-2023 13:30,Act,YUL,22-07-2023 13:36,NRT,0 days 00:06:00.000000000,0.1
1,178159203.0,UPD,AC,5.0,23-07-2023 13:30,Act,YUL,23-07-2023 13:31,NRT,0 days 00:01:00.000000000,0.02
2,178212372.0,UPD,AC,5.0,24-07-2023 13:30,Act,YUL,24-07-2023 13:31,NRT,0 days 00:01:00.000000000,0.02
3,178406042.0,UPD,AC,5.0,25-07-2023 13:30,Act,YUL,,NRT,,0.33
4,178599712.0,UPD,AC,5.0,26-07-2023 13:30,Act,YUL,,NRT,,0.64
5,178793382.0,UPD,AC,5.0,27-07-2023 13:30,Act,YUL,27-07-2023 14:27,NRT,0 days 00:57:00.000000000,0.95
6,178927552.0,UPD,AC,5.0,28-07-2023 13:30,Act,YUL,,NRT,,0.865
7,179061722.0,UPD,AC,5.0,29-07-2023 13:30,Act,YUL,29-07-2023 14:17,NRT,0 days 00:47:00.000000000,0.78
8,179157169.0,UPD,AC,5.0,30-07-2023 13:30,Act,YUL,30-07-2023 13:31,NRT,0 days 00:01:00.000000000,0.02
9,179345390.0,UPD,AC,5.0,31-07-2023 13:30,Act,YUL,31-07-2023 16:29,NRT,0 days 02:59:00.000000000,2.98
10,179354617.0,UPD,AC,5.0,01-08-2023 13:30,Act,YUL,01-08-2023 16:29,NRT,0 days 02:59:00.000000000,2.98
11,179551678.0,UPD,AC,5.0,02-08-2023 13:30,Act,YUL,02-08-2023 13:48,NRT,0 days 00:18:00.000000000,0.3
12,179673220.0,UPD,AC,5.0,03-08-2023 13:30,Act,YUL,03-08-2023 13:40,NRT,0 days 00:10:00.000000000,0.17
13,179817826.0,UPD,AC,5.0,04-08-2023 13:30,Act,YUL,04-08-2023 13:37,NRT,0 days 00:07:00.000000000,0.12
14,179911681.0,UPD,AC,5.0,05-08-2023 13:30,Act,YUL,05-08-2023 13:35,NRT,0 days 00:05:00.000000000,0.08
15,180036222.0,UPD,AC,5.0,06-08-2023 13:30,Act,YUL,06-08-2023 13:38,NRT,0 days 00:08:00.000000000,0.13
16,180172649.0,UPD,AC,5.0,07-08-2023 13:30,Act,YUL,07-08-2023 13:30,NRT,0 days 00:00:00.000000000,0.0
17,181230358.0,UPD,AC,5.0,20-08-2023 13:25,Act,YUL,20-08-2023 13:47,NRT,0 days 00:22:00.000000000,0.37
18,181237460.0,UPD,AC,5.0,21-08-2023 13:25,Act,YUL,,NRT,,0.2975
19,181244562.0,UPD,AC,5.0,22-08-2023 13:25,Act,YUL,,NRT,,0.225
20,181251664.0,UPD,AC,5.0,23-08-2023 13:25,Act,YUL,,NRT,,0.15250000000000002
21,181258766.0,UPD,AC,5.0,24-08-2023 13:25,Act,YUL,24-08-2023 13:30,NRT,0 days 00:05:00.000000000,0.08
22,181267432.5,UPD,AC,5.0,25-08-2023 13:25,Act,YUL,,NRT,,0.09
23,181276099.0,UPD,AC,5.0,26-08-2023 13:25,Act,YUL,26-08-2023 13:31,NRT,0 days 00:06:00.000000000,0.1
24,181286026.5,UPD,AC,5.0,27-08-2023 13:25,Act,YUL,,NRT,,0.135
25,181295954.0,UPD,AC,5.0,28-08-2023 13:25,Act,YUL,28-08-2023 13:35,NRT,0 days 00:10:00.000000000,0.17
